quarter,symbol,in_index,change,source,notes
2014-01,AAPL,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ADBE,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ADI,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ADP,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ADSK,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,AKAM,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ALTR,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ALXN,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,AMAT,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,AMGN,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,AMZN,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ATVI,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,AVGO,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,BBBY,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,BIDU,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,BIIB,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,BKNG,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CA,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CELG,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CERN,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CHKP,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CHRW,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CHTR,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,COST,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CSCO,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CTRX,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CTSH,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,CTXS,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,DISCA,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,DISCK,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,DISH,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,DLTR,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,DTV,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,EBAY,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,EQIX,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ESRX,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,EXPD,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,EXPE,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,FAST,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,FFIV,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,FI,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,FOXA,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,GILD,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,GMCR,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,GOOGL,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,GRMN,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,HSIC,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ILMN,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,INTC,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,INTU,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ISRG,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,KLAC,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,KRFT,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,LBTYA,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,LLTC,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,LMCA,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,LMCK,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MAR,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MAT,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MDLZ,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,META,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MNST,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MSFT,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MU,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MXIM,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,MYL,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,NFLX,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,NLOK,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,NTAP,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,NVDA,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,NXPI,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
2014-01,ORLY,1,baseline,wikipedia:Historical_components_of_the_Nasdaq-100+List_of_NASDAQ-100_companies,
